id,metric_name,human_goal,investment_priority,risk_group,type,poc_analytics,goal_tracking,definition,definition_status,target,tshirt_lift,operationalization_status,m360_link,added_to_scorecard,v3_priority_id,v3_goal_id,v3_goal_title,data_risk_priority_id,data_risk_priority_name,nsm_rollup,latest_date,latest_value,latest_status,latest_source
mature_controls_minimal_msl_friction_of_model_training_risk_74,Mature Controls - Minimal MSL Friction: % of Model Training Risk Reviews that are Automated,Mature risk solutions and controls,4. Transform our processes for AI,AI Risk,New,Kevin Bauer,Goal,Ship Minimal MSL Friction: % of Model Training Risk Reviews that are Automated,Pending,,,Pending,,Pending,P4,4C,Harden controls and scale platform to keep pace with agent growth,,,,,,,
risk_review_velocity_p80_shared_goal_w_mon_pg_77,Risk Review velocity p80 (shared goal w/ Mon PG),"Accelerate and Scale Risk Decisions: Leverage AI & automation to make faster, calibrated risk decisions that enable product teams to move fast with appropriate risk mitigations.",4. Transform our processes for AI,Monetization Risk,New,Hamish Russell,Goal,13BD SLA (p80) for all reviews from SIN Start/Submission to L1 complete,Finalized,,,,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
risk_review_velocity_avg_shared_goal_w_mon_pg_78,Risk Review velocity avg (shared goal w/ Mon PG),"Accelerate and Scale Risk Decisions: Leverage AI & automation to make faster, calibrated risk decisions that enable product teams to move fast with appropriate risk mitigations.",4. Transform our processes for AI,Monetization Risk,New,Hamish Russell,Tracking,,Finalized,,,,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
evolve_monrisk_knowledge_base_79,Evolve MonRisk Knowledge Base,"Accelerate and Scale Risk Decisions: Evolve the Knowledge Base into a self-maintaining, high-accuracy asset that enables high levels of AI-autonomy.",4. Transform our processes for AI,Monetization Risk,Ship Goal,Sarah Sosiak,Goal,,Finalized,,,,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
requirements_min_bar_80,Requirements min bar,Improve MonRisk Requirement quality,4. Transform our processes for AI,Monetization Risk,Existing,Guillaume Aubert,Goal,>95% Requirements meeting min bar (+5% from H1),Finalized,,,,,,P4,4B,Ship AI-native requirements across all Risk Areas,,,,,,,
expand_monrisk_forest_81,Expand MonRisk Forest,Ship MonRisk Forest (DT replacement),4. Transform our processes for AI,Monetization Risk,Ship Goal,Daniel Harvey,Goal,Precision & recall TBD,In progress,,,,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
deliver_remaining_controls_verifiers_in_ftco_scope_82,Deliver remaining controls/verifiers in FTCO scope,Ship MonRisk controls/verifiers,4. Transform our processes for AI,Monetization Risk,Ship Goal,Dave Viner,Goal,Deliver remaining controls/verifiers in FTCO scope,Finalized,,,,,,P4,4C,Harden controls and scale platform to keep pace with agent growth,,,,,,,
3pp_control_automation_83,3PP control automation,Automate 3PP Manual Control Reviews,4. Transform our processes for AI,Monetization Risk,Ship Goal,Garrett Reid,Goal,,Finalized,,,,,,P4,4C,Harden controls and scale platform to keep pace with agent growth,,,,,,,
potential_requirement_gaps_evaluated_84,Potential requirement gaps evaluated,Improve Requirements Coverage with Legal,4. Transform our processes for AI,Monetization Risk,Ship Goal,"Liz Keneski, Dave Viner, Guillaume Aubert",Goal,"eview the first batch of 26 potential gaps identified by Legal, and determine whether they should be addressed by requirements in MonRisk vs remain novel risks in T&E vs be routed to a different Risk",,,,,,,P4,4B,Ship AI-native requirements across all Risk Areas,,,,,,,
tbc_see_comment_86,TBC - see comment,Make AI Risk Review agentic,4. Transform our processes for AI,AI Risk,New,Zef RosnBrick,Goal,,,,,,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
tbc_see_comment_87,TBC - see comment,Automate the AI Risk decision engine,4. Transform our processes for AI,AI Risk,,Zef RosnBrick,Goal,,,,,,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
agent_interruptions_89,Agent Interruptions,"Hold the line on Control Intervention for AI Agent Sessions: Prevent regression of AI agent sessions that hit a control-related intervention, using a unified methodology across Privacy, Security, Data Warehouse, and Meta CLI, so we can credibly ident",4. Transform our processes for AI,Agent Oversight,New,Aman Mathur,Goal,Hold the line and monitor regressions of -  % traces with atleast 1 intervention from controls (privac security or DW based controls)  while monitoring new friction from additional controls being adde,Finalized,,,Finalized,,Pending,P4,4C,Harden controls and scale platform to keep pace with agent growth,,,,,,,
interception_rate_90,Interception Rate,Proactive Agent Privacy Detection & Prevention: Close the agent-oversight loop with an integrated detection-to-prevention flywheel — shifting from reactive firefighting to autonomously intercepting agent-related privacy SEVs before they reach product,4. Transform our processes for AI,Agent Oversight,New,Qinyue Jiang,Goal,The % of privacy SEVs that Agent Oversight intercepts — proactively surfaces or files via AURA (code scanning) or ACL detection. Reported at two scopes: all privacy SEVs (north star) and agent-related,Finalized,,,Pending,,Pending,P4,4C,Harden controls and scale platform to keep pace with agent growth,,,,,,,
agentic_review_share_91,Agentic Review Share,Agentic review handles the majority of launches.,4. Transform our processes for AI,Risk Review Systems & Platform,New,Mateen Saifyan,Goal,# Agentic Reviews Approved for Launch / # Reviews Approved for Launch,In progress,,,In progress,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
ship_92,Ship,Classic LaMa is retired.,4. Transform our processes for AI,Risk Review Systems & Platform,Ship Goal,,Goal,TSIA,Finalized,,,,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
tbd_93,TBD,"Product teams say the experience is faster, clearer, and less taxing than Classic LaMa.",4. Transform our processes for AI,Risk Review Systems & Platform,,,Goal,TBD,Pending,,,In progress,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
agentic_ai_resolution_rate_94,Agentic AI Resolution Rate,Product teams experience fewer defects and need less support. AI answers most questions that remain.,4. Transform our processes for AI,Risk Review Systems & Platform,New,Paul Matsiras,Goal,Reviews fully resolved by agentic AI / Total reviews eligible for agentic resolution,In progress,,,In progress,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
agentic_review_defect_rate_95,Agentic Review Defect Rate,Product teams experience fewer defects and need less support. AI answers most questions that remain.,4. Transform our processes for AI,Risk Review Systems & Platform,New,Paul Matsiras,Goal,Reviews w/ help cases / bugs / tickets / Total reviews [agentic],In progress,,,,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
tbd_96,TBD,"The most sensitive and important launches move swiftly, thanks to process and operational excellence.",4. Transform our processes for AI,Risk Review Systems & Platform,Existing,Paul Matsiras,Goal,TBD,Pending,,,,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
zero_question_review_rate_97,Zero Question Review Rate,"POs rarely need to answer questions, because agents gather and structure product facts automatically.",4. Transform our processes for AI,Risk Review Systems & Platform,New,Melvin Smith Sam Bruce,Goal,# Reviews approved with no* questions / # Reviews approved [agentic],In progress,,,In progress,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
questions_per_review_p90_98,Questions per Review (p90),"POs rarely need to answer questions, because agents gather and structure product facts automatically.",4. Transform our processes for AI,Risk Review Systems & Platform,New,Melvin Smith Sam Bruce,Goal,Number of questions per approved review (p90),In progress,,,In progress,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
agentic_sin_rate_ratio_99,Agentic SIN Rate ratio,"Unnecessary manual reviews and missed risks are rare, because assessment agents are highly accurate.*",4. Transform our processes for AI,Risk Review Systems & Platform,New,Jonathan Zhao,Goal,SIN rate for agentic cohort / SIN rate for human-reviewed cohort,In progress,,,In progress,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
missed_risk_rate_100,Missed Risk Rate,"Unnecessary manual reviews and missed risks are rare, because assessment agents are highly accurate.*",4. Transform our processes for AI,Risk Review Systems & Platform,Existing,Rishabh Sharma (DS),Goal,Percentage of audited reviews with missed risk (categories 4-6: requirement added). Formula: num_missed_risk / num_audits_complete,Finalized,,,Finalized,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
insufficient_evidence_rate_101,Insufficient Evidence Rate,"POs rarely submit evidence manually and insufficient evidence is rare, because agents do it for them.*",4. Transform our processes for AI,Risk Review Systems & Platform,Existing,Rishabh Sharma (DS),Goal,Total review-RQ pairs with IE / Total review-RQ pairs in TA scope,Finalized,,,Finalized,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
manual_evidence_rate_requiring_direct_po_involvement_102,Manual Evidence* rate requiring direct PO involvement,"POs rarely submit evidence manually and insufficient evidence is rare, because agents do it for them.*",4. Transform our processes for AI,Risk Review Systems & Platform,New,Rishabh Sharma (DS),Goal,# Reviews where a PO had to manually gather or verify evidence / # Review requiring manual evidencing,In progress,,,Pending,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
agentic_mad_103,Agentic %MAD,The orchestrator works reliably end-to-end. Many reviews are triggered automatically.,4. Transform our processes for AI,Risk Review Systems & Platform,New,Paul Matsiras,Goal,TBD,In progress,,,Pending,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
automatic_review_trigger_rate_104,Automatic Review Trigger Rate,The orchestrator works reliably end-to-end. Many reviews are triggered automatically.,4. Transform our processes for AI,Risk Review Systems & Platform,New,Yunyan Zhang,Goal,# Reviews Automatically Triggered / # Reviews Created [agentic],In progress,,,In progress,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
in_prep_in_review_wall_time_105,In prep + in review wall-time,"Humans spend significantly less time finding facts and drafting docs for SINs and escalations, thanks to AI.*",4. Transform our processes for AI,Risk Review Systems & Platform,Existing,Karen Krieb,Goal,E2E wall time for In Prep + In Review,Finalized,,,Finalized,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
tbd_106,TBD,We've reimagined escalations: Risk Strategists are leveraging AI to drive Escalations at a fraction of time.,4. Transform our processes for AI,Risk Review Systems & Platform,New,Karen Krieb,Goal,TBD,In progress,,,Pending,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
audit_relabeling_rate_107,Audit relabeling rate,Internal and external parties trust our audits to find and fix gaps. Every audit feeds agent improvements.,4. Transform our processes for AI,Risk Review Systems & Platform,New,Rishabh Sharma (DS),Goal,TBD,In progress,,,Pending,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
audit_completion_rate_within_sla_108,Audit Completion Rate within SLA,Internal and external parties trust our audits to find and fix gaps. Every audit feeds agent improvements.,4. Transform our processes for AI,Risk Review Systems & Platform,New,Rishabh Sharma (DS),Goal,# Audit w/in SLA / Total # of Audits,In progress,,,Pending,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
specialized_risk_assessment_delivery_time_110,Specialized Risk Assessment Delivery Time,A majority of our GRC specialized Risk Assessments are handled via automation,4. Transform our processes for AI,GRC Product Platform,New,Ashirbad Ghosh,Goal,,Blocked,,,Blocked,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
assessor_response_time_111,Assessor Response Time,Most of the work required to respond to Assessor request is automated,4. Transform our processes for AI,GRC Product Platform,New,Ashirbad Ghosh,Goal,,Blocked,,,Blocked,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
control_onboarding_testing_time_112,Control Onboarding & Testing Time,Drastically reduce the time required to onboard & test controls,4. Transform our processes for AI,GRC Product Platform,New,Brandon Fuerst,Goal,,Blocked,,,Blocked,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
task_eng_hours_savings_rate_113,Task Eng Hours Savings Rate,Manual remediation is removed for ~79% of PZM Tasks (~26% of total Wave tasks),4. Transform our processes for AI,GRC Product Platform,New,Alex Irish,Goal,,Finalized,,,Finalized,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
issue_closure_time_114,Issue Closure Time,Incident & Issue management is mostly automated allowing us to resolve faster with less effort,4. Transform our processes for AI,GRC Product Platform,New,Shuaimin Kang,Goal,,Blocked,,,Blocked,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
quality_bar_assessment_115,Quality Bar Assessment,Most (including all critical) AI systems pass the AI Fundamentals quality bar,4. Transform our processes for AI,GRC Product Platform,New,Avi Varadarajulu,Goal,,Finalized,,,Blocked,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
agentifying_the_codebase_116,Agentifying the codebase,Headline-Risk requirements (Tier-1) in-scope (with self-evidenced controls) have E2E Control Integrity tests.,4. Transform our processes for AI,Agent Oversight,New,Praveen Kodakandla,Goal,TBD,Finalized,,,Pending,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
